Thu May 28 06:36:35 PM UTC 2026 - Sistema iniciado
2026-05-28 22:52:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:52:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:52:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:53:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:53:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:53:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:53:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:54:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:54:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:54:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:54:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:55:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:55:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:55:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:55:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:56:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:56:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:56:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:56:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:57:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:57:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:57:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:57:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:58:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:58:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:58:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:58:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:59:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 22:59:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:59:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 22:59:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:00:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:00:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:00:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:00:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:01:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:01:38 | web             | LIST       | entrada/ (0 archivos)
